Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
33,spotify:track:4Aqk447OISHIGHP7YJaSF4,Stormzy,One Take Freestyle,2016-09-02,0.654,0.819,6,-6.216,1,0.371,0.22,0,0.158,0.921,88.029,49
34,spotify:track:0ix3RUQ76mECOKP6LDPy66,Stormzy,First Things First,2017-02-24,0.726,0.808,10,-4.377,0,0.134,0.344,0.000163,0.0828,0.483,96.042,51
35,spotify:track:5gSed1Fd3tdse60Gc0Uuoe,Stormzy,Cold,2017-02-24,0.732,0.974,1,-2.158,1,0.168,0.202,0,0.0853,0.717,137.905,53
36,spotify:track:48jPP29QyeTorwlkflGast,Stormzy,Bad Boys (feat. Ghetts and J Hus),2017-02-24,0.603,0.64,1,-5.215,1,0.291,0.134,0,0.434,0.318,125.462,50
37,spotify:track:3uMB82o0qa7erhiZBW9KQC,Stormzy,Big For Your Boots,2017-02-24,0.515,0.902,6,-4.729,0,0.383,0.0313,0,0.093,0.628,174.589,62
38,spotify:track:3DrMEiTE3yu3yyc6xBDEDz,Stormzy,Mr Skeng,2017-02-24,0.699,0.724,1,-5.126,1,0.223,0.102,0,0.0865,0.402,140.157,51
39,spotify:track:3dMHFZsBzy45jpIHR7l8AJ,Stormzy,Return Of The Rucksack,2017-02-24,0.743,0.782,9,-3.976,1,0.0521,0.000831,0.000198,0.166,0.458,139.005,49
40,spotify:track:2LPUvD5DDOO4UYGkWgjI2C,Stormzy,Shut Up,2017-02-24,0.468,0.823,4,-3.973,1,0.466,0.81,0,0.598,0.941,74.457,67
41,spotify:track:3eZGNBvKkExXp8q5FAyM8y,Kanye West,Champions,2016-06-10,0.696,0.774,6,-2.424,0,0.084,0.0653,0,0.87,0.33,134.985,0
42,spotify:track:7JnEdTyLhvRAZUg8z53Gx3,Drake,Hype,2016-05-06,0.785,0.633,7,-8.223,1,0.169,0.0259,0,0.368,0.244,129.97,0
43,spotify:track:78gWgWOO4xjYbTbYimvBLQ,Stormzy,Know Me From,2015-03-08,0.734,0.725,1,-8.965,1,0.395,0.403,0,0.133,0.786,139.967,55
44,spotify:track:0PyWKgNmGiYTFe6MXN5U4K,Big Sean,Bounce Back,2017-02-03,0.684,0.549,9,-5.695,1,0.248,0.11,0,0.125,0.277,81.441,0
45,spotify:track:0LICWCq1eL0Ja77QgOn5M3,Kanye West,Pt. 2,2016-06-10,0.672,0.729,11,-4.07,1,0.343,0.536,0,0.777,0.272,145.089,0
46,spotify:track:08X9m3tpcthgrItjPVAmCu,Joey Bada$$,Devastated,2016-05-27,0.837,0.481,10,-8.522,0,0.0801,0.12,0,0.309,0.578,122.98,13
47,spotify:track:1WRy5l3TwrwlzNmB5bOeKw,Drake,Pop Style,2016-05-06,0.724,0.456,7,-10.009,1,0.127,0.215,2.41e-06,0.105,0.0481,133.051,0
48,spotify:track:3p6fkbeZDIVqapfdgQe6fm,Kanye West,Famous,2016-06-10,0.469,0.754,6,-3.664,1,0.13,0.0679,0,0.106,0.421,174.068,0
49,spotify:track:1cXQnGrKdXvx6LzBua3xGd,Logic,The Jam,2016-07-01,0.814,0.585,10,-7.773,0,0.337,0.0148,0,0.115,0.376,149.052,0
50,spotify:track:0GQKP2WgHvBA8Nzb4xZu36,Drake,6 God,2015-02-12,0.859,0.623,2,-8.596,1,0.106,0.0248,0,0.125,0.482,105.45,0
51,spotify:track:5a5BZe4XVd1bvWXLOLPUfV,Future,Jersey,2015-09-20,0.757,0.528,0,-10.799,0,0.274,0.511,0.000334,0.0936,0.302,146.056,0
52,spotify:track:3GIlkmoqNZ3FC406hjYWOj,Drake,No Long Talk,2017-03-18,0.913,0.608,10,-6.839,0,0.234,0.0671,0,0.533,0.578,97.063,0
53,spotify:track:61ASZHKdQHSIV4MEt0bRgw,Drake,Skepta Interlude,2017-03-18,0.745,0.822,7,-6.354,1,0.252,0.0103,4.2e-06,0.155,0.415,86.733,0
54,spotify:track:3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,2010-11-22,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,73
55,spotify:track:3GnLo84IkdSWCPYt6tnLll,Kendrick Lamar,HUMBLE.,2017-03-31,0.905,0.596,1,-7.496,0,0.118,0.000339,2.05e-05,0.0897,0.422,149.996,0
56,spotify:track:0DlxjLdl9yjCIzww4vfZ6z,Stormzy,Standard,2016-09-02,0.789,0.684,9,-7.158,1,0.361,0.0172,0,0.0434,0.507,139.842,45
57,spotify:track:78chq26Bmte8cDBp2FCF74,Bonkaz,And Dat (Ft. Stormzy),2016-09-12,0.561,0.588,8,-7.628,1,0.413,0.375,0,0.084,0.664,83.204,0
58,spotify:track:7clvkdDmtKRos6EuQjuVat,Skepta,Track 5,2012-12-16,0.557,0.695,5,-7.22,1,0.352,0.225,0,0.14,0.256,138.975,0
59,spotify:track:2mUye3yqpVYBYLuwmpSEzo,Childish Gambino,Bonfire,2011-11-15,0.503,0.761,8,-5.801,1,0.314,0.059,0,0.308,0.261,161.925,0
60,spotify:track:6LxSe8YmdPxy095Ux6znaQ,Drake,Headlines,2011-11-15,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,73
61,spotify:track:6OBRlFTmKfmJuzz1ZOUECA,Machine Gun Kelly,Till I Die,2015-10-16,0.865,0.621,0,-7.027,0,0.109,0.0285,0,0.136,0.344,110.044,0
62,spotify:track:4Dp8yXueZgKImlUAEbCnA1,Lil Ice,Pest Control,2017-01-26,0.605,0.835,5,-5.85,0,0.52,0.357,0,0.426,0.624,107.554,0
63,spotify:track:69yQEJVFuFYNOtJmIu5XPk,iSHi,Push It,2015-02-27,0.635,0.773,7,-5.649,1,0.169,0.0131,0.0502,0.0932,0.201,174.992,0
64,spotify:track:4cGeMgLcykDLAazHFpbZbU,Kendrick Lamar,DNA.,2017-04-14,0.636,0.517,0,-6.759,1,0.36,0.00402,0,0.0874,0.394,139.928,0
65,spotify:track:6rZssCJPEdQnyeEdNLKsr8,Kendrick Lamar,ELEMENT.,2017-04-14,0.73,0.686,4,-4.713,0,0.491,0.219,0,0.211,0.459,189.889,0
66,spotify:track:7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar,HUMBLE.,2017-04-14,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018,2
67,spotify:track:3HcgkOsWcxxWf7w6Y865Fp,J-Kwon,Tipsy - Club Mix,2012,0.924,0.755,9,-6.02,0,0.322,0.0609,0,0.0925,0.582,93.003,0
68,spotify:track:4dFpc8oA3SroWIKyMQNINT,Bliss n Eso,Addicted,2010-07-30,0.325,0.88,4,-6.878,0,0.241,0.422,0,0.316,0.779,82.518,0
69,spotify:track:3I0TBdlzSEhJzrCBQqfuBO,Bliss n Eso,Down By The River,2010-07-30,0.711,0.955,0,-5.747,0,0.154,0.256,0,0.439,0.578,117.972,0
70,spotify:track:08evcZZA2SaGcZZRPNY4pt,Bliss n Eso,Art House Audio,2010-07-30,0.572,0.866,2,-5.695,1,0.29,0.231,2.1e-06,0.327,0.839,89.918,0
71,spotify:track:77BHdqcOxR7pfV5fa5W53g,Bliss n Eso,Party At My Place,2006-01-01,0.708,0.819,11,-4.062,0,0.279,0.0742,0,0.3,0.816,96.764,0
72,spotify:track:7uxva9lqtvQPwTjAyAtjS0,Aminé,REDMERCEDES,2017-03-03,0.803,0.642,1,-5.879,0,0.219,0.00629,0.0256,0.182,0.602,102.031,0
73,spotify:track:00kYtO6UJq0q9aJ1n3iY1c,Joey Purp,Girls @ (feat. Chance the Rapper),2016-07-15,0.939,0.579,4,-6.161,0,0.271,0.00835,4.78e-05,0.0914,0.635,110.031,47
74,spotify:track:4zLfKQQi13roxRqBNuoKGc,Tyga,Eyes Closed,2017-05-05,0.89,0.631,3,-8.746,0,0.344,0.11,0.000203,0.118,0.541,150.024,0
75,spotify:track:5wfllwdjglyQislkskYLBv,Kid Cudi,Day 'N' Nite (nightmare),2009-01-01,0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,64
76,spotify:track:6syOdAs4IK8kPWR7gDyjRw,Post Malone,Congratulations,2016-12-09,0.629,0.817,6,-4.261,1,0.0357,0.199,0,0.317,0.466,123.087,4
77,spotify:track:2rxfHBai4BOraDIIRgeMZI,Big Boi,Shutterbugg,2010-01-01,0.611,0.902,2,-5.213,1,0.353,0.291,0,0.125,0.52,98.252,0
78,spotify:track:4ntsD33Pgsgk8rUyZLLiUV,Joey Bada$$,DEVASTATED,2017-04-07,0.812,0.628,10,-6.164,0,0.0682,0.0634,0,0.254,0.485,123.004,11
79,spotify:track:6DB2KOEwHnjkgEnBt5SdeJ,Future,Mask Off (feat. Kendrick Lamar) - Remix,2017-05-23,0.727,0.431,2,-12.007,1,0.395,0.0111,0.0166,0.506,0.223,150.005,65
80,spotify:track:2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,XO TOUR Llif3,2017-03-24,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,5
81,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,89
82,spotify:track:1yxgsra98r3qAtxqiGZPiX,Travis Scott,BUTTERFLY EFFECT,2017-05-18,0.763,0.598,11,-6.865,1,0.0539,0.0714,0,0.112,0.182,140.987,2
83,spotify:track:6lV2MSQmRIkycDScNtrBXO,B.o.B,Airplanes (feat. Hayley Williams),2010-04-27,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,75
84,spotify:track:4vGHKVIrYkMzXsPfVxDoZ1,Post Malone,Congratulations - Remix,2017-06-16,0.721,0.732,10,-4.406,0,0.075,0.206,0,0.486,0.518,123.088,0
85,spotify:track:2Vo3sVSCltAaYU1u0f9ASz,Rob $tone,"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)",2016-08-26,0.828,0.49,11,-9.278,1,0.0593,0.0336,2.71e-05,0.0867,0.279,107.968,58
86,spotify:track:4gUQE7JiIwnQKde4RtKytB,Playboi Carti,Magnolia,2017-04-14,0.795,0.584,11,-7.322,0,0.29,0.0115,0,0.52,0.452,163.005,0
87,spotify:track:7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!,2017-02-20,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,82
88,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,Drake,Portland,2017-03-18,0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,72
89,spotify:track:6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,DNA.,2017-04-14,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,78
90,spotify:track:5Zn66o8UqjE1e5CtOtM3co,Lupe Fiasco,The Show Goes On,2010-10-25,0.596,0.91,7,-3.203,1,0.115,0.0207,0,0.182,0.629,143.097,41
91,spotify:track:7sb2qiE0af4NggQPa5FkYY,Lupe Fiasco,Little Weapon (feat. Bishop G & Nikki Jean),2007-01-01,0.723,0.808,11,-6.32,0,0.203,0.0746,0,0.196,0.336,109.958,47
92,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,Eminem,Love The Way You Lie,2010-06-18,0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,1
93,spotify:track:39h7qYbmksGgxQzDH9X7Aq,Drake,Energy,2015-02-12,0.748,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.105,0
94,spotify:track:7vL1M0BHhpjbaKrwRimJ4L,Drake,Sneakin’,2016-10-24,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,0
95,spotify:track:0Y0TOsE1q11qgbi7c5WZsG,Meek Mill,R.I.C.O. (feat. Drake),2015-06-29,0.727,0.599,1,-6.941,1,0.327,0.317,0,0.219,0.386,167.909,71
96,spotify:track:3S6Qk3eJctunBqcqC3jmcE,Tyga,Gucci Snakes,2016-09-09,0.702,0.695,11,-7.365,0,0.257,0.0636,0,0.376,0.533,150.003,0
97,spotify:track:1GMDpf82TUwTVBPYiu0dmR,Tyga,Switch Lanes,2013-01-01,0.761,0.851,10,-4.371,0,0.234,0.556,0.000545,0.104,0.463,92.486,63
98,spotify:track:6IAfQUFWaQdqoTz0P1jk9W,Wynter Gordon,Dirty Talk,2010-02-18,0.689,0.789,11,-5.459,1,0.0342,0.0342,0.00129,0.104,0.895,130.01,57
99,spotify:track:5Z1EX2sRJk1e8tQofsFnVW,Dave,100M's,2017-05-26,0.704,0.73,6,-6.709,0,0.276,0.151,0,0.103,0.753,147.081,54
100,spotify:track:5bZaiiVWl6hUvZm1ldyEhk,P Money,Back To Back,2017-04-28,0.794,0.825,8,-5.756,1,0.311,0.529,0,0.0668,0.899,140.032,40
101,spotify:track:6p7sQMLbmFS0RxDzY2l7hH,Cadet,Corn,2016-12-02,0.564,0.67,1,-6.786,1,0.411,0.176,0,0.121,0.509,149.656,0
102,spotify:track:3rDYnrpvtbVWjjMRI2PDED,AJ Tracey,False 9,2017-07-01,0.461,0.819,0,-5.841,1,0.353,0.107,0,0.084,0.771,140.907,1
103,spotify:track:18mqg9528DXPlNUHcHiTLH,Chip,Scene,2017-08-11,0.587,0.803,10,-6.564,0,0.396,0.191,0,0.171,0.363,140.36,32
104,spotify:track:0AujVCSq4klrS5UknCzLsy,AJ Tracey,Luke Cage,2016-12-02,0.794,0.801,0,-6.433,1,0.271,0.35,0,0.0799,0.717,147.072,2
105,spotify:track:5y2K7jr9M8t1HRAu9jzssT,Skepta,No Security,2017-03-01,0.859,0.624,1,-5.437,1,0.0915,0.00531,0.000124,0.184,0.635,149.948,56
106,spotify:track:4rOBi32fLCqS6BlaEMxeVi,Dizzee Rascal,Ghost,2017-07-21,0.746,0.727,11,-5.509,1,0.244,0.348,0,0.128,0.403,144.939,0
107,spotify:track:78935WYgD7xVcXwCZp6czT,Dizzee Rascal,Space,2017-06-16,0.662,0.811,6,-6.355,1,0.311,0.131,4.1e-06,0.678,0.626,152.741,0
108,spotify:track:1Bi5t0q9j3nYXIZuZgSGvr,Post Malone,White Iverson,2016-12-09,0.677,0.577,7,-7.671,1,0.0355,0.221,0,0.0776,0.329,130.05,0
109,spotify:track:3loNCAyjqpgB9DvKhLMKi9,Skepta,That's Not Me,2016-05-06,0.827,0.854,0,-3.43,1,0.238,0.334,0,0.073,0.869,139.089,0
110,spotify:track:7bre6yd84LZ6MFoTppmHja,Kendrick Lamar,Swimming Pools (Drank),2012-08-03,0.656,0.446,1,-5.897,1,0.265,0.00695,0.000419,0.088,0.203,74.543,0
111,spotify:track:3sTN90bIP2cJ1783ctHykO,Mura Masa,Love$ick (feat. A$AP Rocky),2017-07-14,0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,74
