Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
32,spotify:track:5yc59J3MR3tVDPTOgwgRI5,Death Cab for Cutie,Soul Meets Body,2005-08-29,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142,60
33,spotify:track:4kbz7rHVbyjKasuuqelccQ,Dido,White Flag,2003-09-29,0.512,0.531,5,-6.789,1,0.0402,0.33,3.5e-06,0.0811,0.302,169.951,59
34,spotify:track:08LAyogtI90hvNsyr1Hsdm,Dirty Projectors,Stillness Is The Move,2009-06-09,0.569,0.542,0,-5.784,1,0.134,0.109,4.38e-06,0.204,0.53,76.309,39
35,spotify:track:4ws3V2VFcJGAkcLppaXPy4,Copeland,Pin Your Wings,2005-03-22,0.521,0.853,2,-7.642,1,0.0463,9.19e-05,3.42e-05,0.374,0.676,128.106,37
36,spotify:track:2vupkXhwL4sNCRgNu72HCZ,Dr. Dog,Heart It Races - Cover Version,2007-06-05,0.705,0.474,10,-13.081,1,0.0391,0.443,0.0553,0.338,0.756,98.612,67
37,spotify:track:7w5cxTEzp1rfV3KCy0Bd5N,Edward Sharpe & The Magnetic Zeros,Home,2009-07-14,0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,72
38,spotify:track:6DG1vjbBFKJWVeihm4hK0X,Empire of the Sun,We Are The People,2008-01-01,0.666,0.785,4,-5.37,0,0.0308,0.0981,0.0198,0.434,0.549,122.973,42
39,spotify:track:66olzBxCgKlpFRB1LKH5pO,Feist,Mushaboom,2004-01-01,0.731,0.523,8,-8.731,1,0.0335,0.302,0.00204,0.0672,0.837,88.756,50
40,spotify:track:6Glv3rhKQ5Lo8wBzSC4IGA,Death Cab for Cutie,The New Year,2003-10-07,0.311,0.742,0,-7.844,0,0.0419,0.00386,0.00147,0.124,0.19,123.572,39
41,spotify:track:6ZQgooEk8PvsLxedYaT6Oa,Fiona Apple,Across the Universe,1998-10-13,0.578,0.481,4,-10.545,1,0.0317,0.431,0.00299,0.0951,0.548,129.881,56
42,spotify:track:3QVtICc8ViNOy4I5K14d8Z,Fleet Foxes,White Winter Hymnal,2008-06-03,0.629,0.505,6,-9.663,0,0.0268,0.438,0,0.243,0.711,124.92,56
43,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,Dog Days Are Over,2009,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,70
44,spotify:track:6ooluO7DiEhI1zmK94nRCM,Franz Ferdinand,Take Me Out,2004,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,74
45,spotify:track:4AHsOf7UnQr3AXNA75cJBs,Feist,My Moon My Man,2007,0.711,0.503,4,-8.651,0,0.0635,0.114,0.0316,0.13,0.458,124.541,28
46,spotify:track:3OeQl1CTURzhwzd5R4KWrf,Death Cab for Cutie,The Sound Of Settling,2003,0.42,0.792,6,-5.909,1,0.028,0.00778,0.000621,0.214,0.712,175.389,0
47,spotify:track:4OSEE9iEHADmTSCpxl87GJ,Friendly Fires,Paris (Aeroplane Remix),2009-08-30,0.703,0.719,1,-6.625,0,0.0461,0.00889,0.0962,0.0695,0.462,112.009,51
48,spotify:track:3PMRp8jPVeTyKPmuu4JFah,Frightened Rabbit,Keep Yourself Warm,2007,0.261,0.572,7,-5.48,1,0.0323,0.00363,0.00134,0.158,0.0382,114.052,42
49,spotify:track:0CSTvWUps1YmpQoXXay9ol,Florence + The Machine,Cosmic Love,2009,0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,60
50,spotify:track:72DTGt2tVAL6ATVhzVjvkk,Girls,Lust For Life,2009-09-22,0.25,0.705,6,-6.044,1,0.0313,0.0101,0.377,0.128,0.458,154.299,43
51,spotify:track:0GgAAB0ZMllFhbNc3mAodO,Empire of the Sun,Half Mast,2009-01-01,0.771,0.738,0,-4.88,1,0.0303,0.00423,0.00419,0.501,0.761,126.983,44
52,spotify:track:2CzWeyC9zlDpIOZPUUKrBW,Feist,1234,2007-01-01,0.71,0.484,2,-7.415,1,0.049,0.217,3.93e-06,0.0879,0.576,109.951,60
53,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,Grizzly Bear,Two Weeks,2009-05-24,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,69
54,spotify:track:2acK24b60RQD2zBpW0Zsrw,Hercules & Love Affair,Blind - Radio Edit,2008-02-29,0.716,0.914,7,-6.907,0,0.0341,0.00542,0.000218,0.0504,0.69,118.579,59
55,spotify:track:6q6PeTloTbL2vb1Gt9sQQc,Hot Chip,Ready For The Floor,2008-01-21,0.764,0.759,1,-5.443,0,0.0413,0.00903,0,0.0746,0.937,128.999,60
56,spotify:track:6u9RqxALwkjJ1ukB1y8vuP,Florence + The Machine,You've Got The Love,2009,0.574,0.704,6,-4.72,1,0.0319,0.00455,0,0.107,0.368,109.999,61
57,spotify:track:03kZca43rgVgphYctcopJU,Frou Frou,Breathe In,2002-01-01,0.75,0.722,4,-7.032,1,0.0308,0.277,0.00213,0.0627,0.759,97.493,46
58,spotify:track:3D4NfLvG99xCEZnL6MHZ84,Hot Hot Heat,Bandages,2002-08-10,0.376,0.947,4,-3.778,0,0.0902,0.00757,0,0.107,0.859,150.212,43
59,spotify:track:0vfWzo75MKGYiQSiT5jEzt,Imogen Heap,Goodnight and Go,2005-07-18,0.609,0.651,1,-9.703,1,0.0302,0.35,2.51e-05,0.0794,0.505,109.981,48
60,spotify:track:43ddJFnP8m3PzNJXiHuiyJ,Ingrid Michaelson,The Way I Am,2007-01-01,0.877,0.259,5,-9.302,1,0.0427,0.771,8.98e-06,0.108,0.32,119.989,58
61,spotify:track:0vg4WnUWvze6pBOJDTq99k,James Blunt,You're Beautiful,2005-08-08,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,76
62,spotify:track:1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours,2008-05-12,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,82
63,spotify:track:1L8H6AuK4TaMmolSL0N0mR,Hot Chip,Boy From School,2006-05-22,0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.497,125.994,57
64,spotify:track:0ZSmRnXnP5fdANtVlCok1g,Jet,Look What You've Done,2003-09-15,0.398,0.547,0,-6.846,1,0.0261,0.414,0.00143,0.146,0.305,73.396,62
65,spotify:track:0ll8uFnc0nANY35E0Lfxvg,Keane,Somewhere Only We Know,2004-01-01,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,70
66,spotify:track:7d8GetOsjbxYnlo6Y9e5Kw,The Killers,Mr. Brightside,2004-06-07,0.352,0.928,1,-3.71,1,0.0758,0.00113,0,0.0987,0.239,148.026,49
67,spotify:track:6ifbPf9vldlIJwYKrBFktx,Imogen Heap,Just for Now,2005-07-18,0.443,0.367,3,-9.165,1,0.028,0.815,2.34e-06,0.129,0.469,149.888,45
68,spotify:track:6BqWhxll86CGGE6WxgdRqG,Klaxons,Golden Skans,2007,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,64
69,spotify:track:2SGBEDwsOAOAHrrdAd304i,The Kooks,She Moves In Her Own Way,2006-01-01,0.431,0.81,7,-5.379,1,0.066,0.276,0,0.0906,0.795,76.412,55
70,spotify:track:5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Suddenly I See,2005-01-01,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,69
71,spotify:track:6lUY6MoqGgPnA27PHYxem5,La Roux,Bulletproof,2009-01-01,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,66
72,spotify:track:2cmRpmO04TLaKPzmAzySYZ,LCD Soundsystem,Dance Yrself Clean,2010-05-17,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,65
73,spotify:track:5hkdfA87RZvNaxl6XiveOA,Keane,Everybody's Changing,2004-01-01,0.515,0.835,0,-3.564,1,0.0293,0.00146,0.000235,0.101,0.457,94.015,61
74,spotify:track:4kAgnAL4WKx7YqnlL2fvMh,The Killers,Smile Like You Mean It,2004-06-15,0.362,0.979,3,-2.581,0,0.161,0.000378,0.0151,0.231,0.383,125.087,57
75,spotify:track:121so7t3AeX6nLMvxy9ZP9,Imogen Heap,Hide and Seek,2006-04-08,0.452,0.179,9,-11.165,1,0.0824,0.899,0,0.178,0.103,121.488,51
