Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
32,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,Thomas Rhett,Craving You,2017-03-31,0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,0
33,spotify:track:0LcspVKJxhEQQSvVMiTPWz,Ingrid Andress,More Hearts Than Mine,2019-04-05,0.573,0.428,0,-7.414,1,0.0263,0.112,0,0.114,0.4,80.907,66
34,spotify:track:2ZFrEp20VO25BXYhMxh0GW,Kenny Chesney,Get Along,2018-04-06,0.602,0.805,7,-6.079,1,0.0473,0.0997,0,0.172,0.322,92.401,53
35,spotify:track:6ZvAXIWw3rw8WR0Xlmifri,Jon Pardi,Heartache Medication,2019-05-20,0.621,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,62
36,spotify:track:1kqVSbwdlNKsPGv0aehcAZ,Lady A,What If I Never Get Over You,2019-05-17,0.58,0.725,0,-5.124,1,0.0273,0.016,0,0.107,0.369,93.014,1
37,spotify:track:7mldq42yDuxiUNn08nvzHO,Sam Hunt,Body Like A Back Road,2017-02-01,0.732,0.458,5,-7.225,1,0.0311,0.447,0,0.136,0.661,98.938,74
38,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,Thomas Rhett,Unforgettable,2017-09-08,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,68
39,spotify:track:68JS5SFTnW5Yv9Vzw81Jf0,Chris Stapleton,Millionaire,2017-12-01,0.616,0.474,10,-9.608,1,0.0266,0.192,0.00762,0.0989,0.493,142.689,69
40,spotify:track:09iyGiljLWRYXdRazFkdtJ,Maren Morris,I Could Use a Love Song,2017-03-17,0.638,0.634,6,-6.474,1,0.0468,0.214,0,0.0866,0.473,92.097,70
41,spotify:track:2mfahQ0EaaZWq4cFNg6A1o,Devin Dawson,All On Me,2018-01-19,0.634,0.668,5,-5.488,1,0.0291,0.14,0,0.216,0.635,80.989,65
42,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,Mitchell Tenpenny,Drunk Me,2018-02-23,0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,1
43,spotify:track:4nxgA1nvXvTkmsBY0vJV57,Lauren Alaina,Road Less Traveled,2017-01-27,0.611,0.886,0,-4.673,1,0.0343,0.0551,1.1e-06,0.247,0.27,112.988,63
44,spotify:track:0w3Q14i073jLoew1hgJkwD,Jon Pardi,Heartache On The Dance Floor,2016-05-13,0.596,0.834,9,-4.308,1,0.0474,0.0563,0,0.0866,0.618,116.0,71
45,spotify:track:4P92FrvmYQSAfOpp4cpFEi,Florida Georgia Line,Simple,2018-06-01,0.375,0.889,3,-3.704,1,0.0991,0.0848,0,0.136,0.881,199.669,0
46,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,Jason Aldean,You Make It Easy,2018-01-26,0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,67
