Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
33,spotify:track:27ycaQnQAxaPiyeg3nr2aB,Miley Cyrus,Midnight Sky,2020-08-14,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,91
34,spotify:track:59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing,2020-07-22,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,92
35,spotify:track:59VDjcpB2I8psQasslQpdK,Lost Frequencies,Don't Leave Me Now,2020-07-31,0.671,0.752,6,-6.806,0,0.0304,0.0258,0,0.112,0.717,124.998,71
36,spotify:track:2KoHxhRyWxJzA0VafWd5Nk,Sam Smith,My Oasis (feat. Burna Boy),2020-07-30,0.691,0.474,10,-8.742,0,0.0583,0.569,0.000626,0.099,0.381,143.783,78
37,spotify:track:27u7t9d7ZQoyjsCROHuZJ3,Clean Bandit,Tick Tock (feat. 24kGoldn),2020-08-21,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,88
38,spotify:track:3kwgqoBqTwoAH4nT29TYrq,Maroon 5,Nobody's Love,2020-07-24,0.486,0.567,1,-6.456,1,0.0379,0.31,0,0.0949,0.154,93.68,80
39,spotify:track:4LEK9rD7TWIG4FCL1s27XC,Taylor Swift,cardigan,2020-07-24,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,63
40,spotify:track:2kkGRB3PKYCAFGmaLsmIbd,Kylie Minogue,Say Something,2020-07-23,0.635,0.845,0,-4.816,0,0.0525,0.027,0.0128,0.135,0.463,107.013,64
41,spotify:track:2EPvkwP4Djr1s59GxAh8tO,Ellie Goulding,Love I’m Given,2020-07-16,0.517,0.805,1,-4.897,0,0.0867,0.152,0,0.0714,0.753,140.128,62
42,spotify:track:5uIXRf0nKHHWbJ2jVGlRoU,Lost Frequencies,One More Night,2020-07-24,0.729,0.604,7,-8.934,1,0.0449,0.727,0.128,0.117,0.152,120.022,54
43,spotify:track:4YAg8h8WliHZlW5wuv8Jpk,Anne-Marie,To Be Young (feat. Doja Cat),2020-07-13,0.525,0.649,8,-4.802,1,0.0655,0.241,0,0.129,0.286,155.995,74
44,spotify:track:4FYbo4yQzu3hGkj2Ix4ucW,Zedd,Funny,2020-07-16,0.664,0.66,5,-4.646,1,0.0243,0.512,0,0.26,0.355,99.946,77
45,spotify:track:0FLwo3U1NrjocfK2FDisrX,Alok,Don't Cry For Me (with Jason Derulo),2020-07-10,0.69,0.587,1,-6.53,0,0.0466,0.105,0,0.102,0.278,104.046,74
46,spotify:track:6t7089pe4VklogK683LdPM,James Bay,Chew On My Heart,2020-07-09,0.545,0.719,11,-5.424,0,0.039,0.0696,0,0.146,0.196,123.075,74
47,spotify:track:1UNs8AlFM8c0uAkSyjIW3P,Charlie Puth,Girlfriend,2020-06-23,0.758,0.583,1,-6.361,1,0.0421,0.18,5.12e-05,0.107,0.797,97.537,73
48,spotify:track:0GMZTe7a0XBj0kAsp8TOxA,Rhys Lewis,Some Days,2020-07-10,0.768,0.465,5,-6.868,0,0.029,0.293,4.66e-06,0.124,0.661,81.007,58
49,spotify:track:5CO4uJ11ZVKhsO2Lu9NUSk,RAYE,Natalie Don't,2020-07-10,0.807,0.533,9,-4.899,0,0.0443,0.176,0,0.284,0.853,124.006,68
50,spotify:track:5vnR4vEMuYH0kFucYuxIzA,GABIFUEGO,Contigo Tengo Feeling,2020-06-26,0.762,0.725,9,-5.172,0,0.0553,0.0937,1.71e-05,0.117,0.768,91.014,47
51,spotify:track:0l4AReW2LuX0yStPfgQgSR,Dermot Kennedy,Giants,2020-06-24,0.579,0.839,8,-5.409,0,0.0703,0.0145,3.04e-05,0.201,0.589,158.141,81
52,spotify:track:4m4dmiW49WkRkSWliJ5Zoj,Don Diablo,Thousand Faces,2020-06-19,0.577,0.821,11,-3.068,1,0.0455,0.536,0,0.0949,0.525,97.015,65
53,spotify:track:7bIq1v8svANsAys7I694Up,Becky Hill,Heaven On My Mind (with Sigala),2020-06-25,0.71,0.891,0,-3.116,0,0.0749,0.0313,0,0.365,0.705,125.024,76
54,spotify:track:2gGLpMzoo80A7jGEIr4ou8,Jonas Blue,Naked,2020-06-26,0.856,0.622,10,-5.217,0,0.0564,0.36,0,0.0875,0.778,114.976,70
55,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,2019-12-19,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,91
56,spotify:track:5ow0sNF1zSqp71Ix5jEXWU,Jubël,Dancing in the Moonlight (feat. NEIMY),2018-06-22,0.659,0.617,11,-5.862,0,0.0649,0.27,0,0.187,0.187,119.858,67
57,spotify:track:4TRL1Y8sOR54I3AvRzUZHk,Luz,we'll be fine,2020-06-19,0.563,0.382,10,-11.138,1,0.0404,0.748,0,0.0714,0.197,120.802,41
58,spotify:track:5z8uLrYMcUVvzTV28twt44,Ellie Goulding,Slow Grenade,2020-06-30,0.758,0.562,9,-6.302,1,0.0771,0.0996,0,0.0996,0.581,142.035,72
59,spotify:track:1cgvB6KaL16ibyrJHhZeG0,Nea,Drunk Enough To,2020-06-12,0.73,0.584,5,-6.209,1,0.0463,0.0897,2.8e-05,0.628,0.575,98.981,62
60,spotify:track:6ZMYbLF33jIECoG2MClauD,Local Natives,Dark Days [Feat. Sylvan Esso],2020-05-21,0.644,0.578,9,-7.78,1,0.0256,0.181,0.119,0.0966,0.629,114.944,60
61,spotify:track:7s61Kg0qZhhFj5MQW7DDIB,Sofia Carson,Miss U More Than U Know (with R3HAB),2020-06-19,0.796,0.591,5,-6.413,1,0.0608,0.193,0.0248,0.0938,0.51,102.963,65
62,spotify:track:4NmOJQxl9UZItUQQtMDYBb,Kygo,The Truth,2020-05-22,0.629,0.539,7,-7.006,0,0.063,0.166,0,0.189,0.316,109.885,67
63,spotify:track:3hMgyGBkNb9Ah1rDzlELIK,Astrid S,Dance Dance Dance,2020-06-05,0.564,0.561,6,-7.616,1,0.438,0.331,0,0.337,0.52,195.901,39
64,spotify:track:6wXgnhpmOPEJ7cUweSyy2B,Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),2020-05-27,0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039,76
65,spotify:track:4iWKQu7GcqRl1aVll2PD20,Galantis,Only A Fool (with Pink Sweat$),2020-05-29,0.729,0.619,5,-6.155,0,0.0346,0.0451,0,0.0953,0.623,123.061,68
66,spotify:track:7A9rdAz2M6AjRwOa34jxIP,Tones And I,Ur So F**kInG cOoL,2020-05-29,0.816,0.677,11,-4.057,0,0.197,0.358,0,0.165,0.571,78.979,57
