Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
32,spotify:track:50ZC4PM7hywH27RcCfViau,Rauw Alejandro,Elegí (feat. Dímelo Flow),2020-03-26,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,84
33,spotify:track:5zxHw6nOeQqProEH72NpPk,Nobeat,Perreo Sano,2020-04-24,0.521,0.429,10,-11.669,1,0.29,0.31,0,0.0622,0.746,162.817,47
34,spotify:track:1Adwhpmwhz1CSi7E7QTwIC,Sech,Oficial,2020-05-21,0.838,0.782,1,-2.723,0,0.147,0.262,0,0.194,0.772,89.952,62
35,spotify:track:2vMixEB7N64RMHYaH9w3LG,Durako,Prende (Remix),2020-04-20,0.836,0.664,4,-7.486,0,0.317,0.0352,4.14e-06,0.109,0.861,173.938,48
36,spotify:track:6ksWMnPcHNyNoNf3y1BQCO,Daddy Yankee,Noche De Entierro,2006-09-25,0.868,0.764,4,-6.574,0,0.167,0.119,0.00143,0.0918,0.397,96.994,67
37,spotify:track:31bsf9JZWITAir5Uzjtsp5,Feid,PERREOXOXO,2020-04-23,0.838,0.799,2,-4.957,1,0.121,0.208,2.25e-05,0.0939,0.912,95.03,50
38,spotify:track:37eGbhE1xVFSvcKkqGb6i1,Sean Paul,Contra La Pared,2019-03-14,0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,72
39,spotify:track:4B2kFp1ulVz1FgwVYSShoj,Ankhal,Perreo Intenso,2020-04-17,0.747,0.95,4,-2.946,0,0.263,0.0417,1.72e-06,0.0875,0.689,183.912,65
40,spotify:track:08aYFNUTIOMGq93e2VSArQ,Rauw Alejandro,Que Le De,2019-01-25,0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,66
41,spotify:track:3mr13zNWprAzYYY0RinBCp,Tainy,MERA (with Dalex & Álvaro Díaz),2020-01-17,0.539,0.685,2,-7.26,0,0.126,0.0115,4.82e-06,0.317,0.298,194.114,61
42,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,Sech,Otro Trago,2019-04-19,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,76
43,spotify:track:36YJZ6rpApeSBHZ3KMi3hg,Cauty,El Perreo Intenso,2019-08-02,0.747,0.79,1,-4.177,1,0.245,0.108,4.61e-05,0.162,0.813,175.951,50
44,spotify:track:63c2jMnVyf8dtnbaQK910d,Kidd Keo,Serpiente Veneno (feat. Ele A El Dominio),2019-04-26,0.918,0.527,1,-6.733,1,0.276,0.108,8.62e-05,0.0549,0.553,99.973,63
45,spotify:track:0SqqAgdovOE24BzxIClpjw,Bad Bunny,Yo Perreo Sola,2020-02-28,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,85
46,spotify:track:0hdYSzEWKyKHnfhGoVFSGM,Wisin & Yandel,Ahora Es,2013-01-01,0.824,0.793,11,-5.516,0,0.112,0.11,0,0.448,0.729,96.008,53
47,spotify:track:10cuEFxGFk2fh874O9KfNc,Mariah Angeliq,Taxi,2020-01-30,0.725,0.807,7,-3.889,0,0.138,0.0539,0,0.19,0.695,180.008,33
48,spotify:track:1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",2019-09-06,0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,77
49,spotify:track:5sXWTlAn5ZKDCoS0uP4Y1E,Plan B,Candy,2014-12-09,0.897,0.865,11,-3.765,0,0.118,0.246,0,0.385,0.572,96.007,0
50,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,Don Omar,Dile,2003-01-01,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,75
51,spotify:track:6bbHD9AvnyiPK8s9hOZfd0,Daddy Yankee,"Lo Que Paso, Paso",2004-07-13,0.824,0.754,8,-6.418,0,0.0377,0.114,0,0.368,0.831,97.002,0
52,spotify:track:5b5Qmt9Q99fPFCl4xFjOQ2,Alexis y Fido,Me Quiere Besar,2006,0.787,0.818,1,-5.471,1,0.0725,0.137,0,0.231,0.817,95.038,0
53,spotify:track:2qtSblErXSxcloVCE1feG7,Dímelo Flow,Pirueta,2020-04-24,0.796,0.849,2,-3.841,1,0.071,0.0457,0,0.155,0.784,81.025,10
54,spotify:track:2TkQBNls3vXKGpe3G4HSi2,Urbøi,Para Lisa,2020-04-17,0.758,0.905,9,-3.143,1,0.288,0.574,0.000116,0.222,0.81,179.969,58
55,spotify:track:3J4SOaPJ939LA5tQXUIgE8,Alex Rose,"Mala (with Alex Rose, Dayme y El High, Brray)",2020-03-27,0.876,0.525,6,-6.559,1,0.276,0.0128,7.4e-05,0.147,0.835,89.973,52
56,spotify:track:2hsA9YWuF3C9Gosi4dpjJN,J Balvin,Negro,2020-03-19,0.795,0.911,0,-2.228,1,0.0875,0.0157,0.206,0.131,0.8,164.081,75
57,spotify:track:3DlM7Wmirw96FVBMPLeaSD,Guaynaa,Rompe Rodillas,2020-02-28,0.778,0.651,6,-8.006,0,0.0508,0.132,0,0.0305,0.951,91.962,62
58,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,Bad Bunny,Safaera,2020-02-28,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,85
59,spotify:track:2w8SKQCnT2YQK1qCqKl2uW,Lenny Tavárez,La Pared 360,2020-02-06,0.777,0.656,2,-5.823,0,0.158,0.248,2.06e-06,0.139,0.833,168.103,71
60,spotify:track:6k2evQXcf7n9Lbc7V5XkOX,DJ Pedro Fuentes,Rompelo,2018-10-17,0.891,0.815,7,-6.326,1,0.116,0.0328,4.44e-06,0.293,0.838,94.982,66
61,spotify:track:0PabDDMMzwmn9cfJsfes7W,Wisin & Yandel,Chica Bombastic,2019-10-18,0.777,0.754,8,-3.392,1,0.185,0.0384,0,0.0393,0.78,171.992,62
62,spotify:track:3o7TK4inMYzJC3ZMJCWsRC,Dimitri Vegas & Like Mike,Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix,2019-11-29,0.752,0.82,1,-2.976,1,0.0461,0.0134,0.000804,0.0692,0.822,95.987,63
63,spotify:track:4xvTPuwHaXoDM3p0QcY7bH,DJ Luian,Música,2019-12-04,0.788,0.82,1,-4.346,0,0.169,0.22,0.000203,0.0799,0.854,177.927,63
64,spotify:track:0qZ7oronoocHdFDKGBdgLQ,Zion & Lennox,Sistema,2019-12-06,0.744,0.835,2,-3.356,1,0.156,0.0434,0,0.0911,0.736,173.95,56
65,spotify:track:5YrjfKuFd0pMmYTGeRDV6X,Noriel,Piropo,2019-10-25,0.866,0.747,9,-5.748,1,0.0725,0.122,0.0218,0.0403,0.772,93.984,67
66,spotify:track:4j4w4CXm6BSr0s25wAWrrX,Bad Bunny,Bichiyal,2020-02-28,0.737,0.766,10,-4.242,0,0.0458,0.31,6.63e-06,0.114,0.662,93.956,78
67,spotify:track:6RyuoOJXNzlVWpfC5xQyeI,Omar Montes,Alocao (With Bad Gyal),2019-10-24,0.673,0.752,11,-4.705,0,0.0567,0.214,1.53e-06,0.106,0.699,178.005,68
68,spotify:track:7fTsw0IKbbPDN19keS32tF,Jhay Cortez,Easy,2019-05-24,0.853,0.777,1,-4.023,0,0.0684,0.101,0.000615,0.332,0.547,94.031,60
69,spotify:track:2uGyZNHyMNFhB8iM107qb4,Cosculluela,Dime A Ver,2019-08-23,0.741,0.783,1,-3.287,0,0.395,0.278,0,0.112,0.541,180.125,57
70,spotify:track:3XsqFFCOn6oPKt4GCod2wP,Sebastian Yatra,Mañana No Hay Clase (24/7),2019-10-24,0.779,0.728,2,-2.586,1,0.187,0.0191,0,0.266,0.824,179.971,56
71,spotify:track:3YLBCabWy4jiqtMnTeSnz1,El Coyote The Show,No Le Bajes,2019-10-18,0.799,0.86,10,-3.471,0,0.0919,0.102,0,0.0979,0.81,93.985,48
72,spotify:track:5UVa8Qqb9L1dVxl3jKQ5J1,Guaynaa,Chicharrón,2019-08-16,0.734,0.789,10,-4.305,0,0.454,0.445,9.06e-05,0.498,0.811,76.182,64
73,spotify:track:2Zl9S0KGB7VkqQMJgHBQXN,Rvfv,Mirándote,2019-06-18,0.689,0.739,0,-5.566,1,0.112,0.236,0.000147,0.111,0.473,106.447,0
74,spotify:track:0atfY1ew83Ql9nNnJiD2t5,J Balvin,Bonita,2017-06-02,0.775,0.867,5,-1.582,0,0.0414,0.0132,0.00684,0.278,0.869,96.038,71
75,spotify:track:0JOUrhZGMCx3lk9VosAQWl,Ozuna,El Desorden,2017-11-17,0.838,0.81,9,-3.175,0,0.0891,0.22,1.31e-05,0.0817,0.889,164.04,62
76,spotify:track:74eN3ZNL7krJw1BIcjA5pc,Jory Boy,Detras De Ti (Remix) [feat. Ozuna],2016-12-02,0.77,0.724,10,-4.801,0,0.154,0.0639,1.87e-05,0.3,0.817,172.006,44
77,spotify:track:4u9dZ2VNm4T1lyX88JqIY0,DJ Yayo,Ella Quiere Hmm Haa Hmm,2016-08-16,0.847,0.839,1,-2.313,1,0.0537,0.0234,0.000389,0.0829,0.378,99.981,0
78,spotify:track:79zvVrn65ksbiGQxrtV4I5,Don Omar,Guaya Guaya,2015-06-16,0.788,0.873,7,-2.322,1,0.117,0.00607,0.00052,0.0908,0.703,91.981,67
79,spotify:track:1xrbyp16GiuTEttWGqNQE6,Sky,Juraste,2017-11-25,0.64,0.77,5,-3.876,1,0.196,0.153,0,0.121,0.797,82.1,0
80,spotify:track:6ELe1Do1bYtaCtLqjYTglW,Sebastian Yatra,SUTRA,2017-10-13,0.747,0.732,9,-3.24,1,0.145,0.0471,0,0.159,0.887,180.112,56
